bygningens byggeår	bruksareal	statistikkvariabel	år	region	06517: Boliger,
1946-1960	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	369
1946-1960	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	133
1946-1960	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	40
1946-1960	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	21
1961-1970	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1
1961-1970	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	2
1961-1970	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	9
1961-1970	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	41
1961-1970	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	40
1961-1970	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	67
1961-1970	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	78
1961-1970	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	139
1961-1970	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	241
1961-1970	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	829
1961-1970	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	553
1961-1970	250-299 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	220
1961-1970	300-349 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	57
1961-1970	350 kvm eller større	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	37
1971-1980	Under 30 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	23
1971-1980	30-39 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	15
1971-1980	40-49 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	32
1971-1980	50-59 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	51
1971-1980	60-79 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	98
1971-1980	80-99 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	65
1971-1980	100-119 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	103
1971-1980	120-139 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	166
1971-1980	140-159 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	132
1971-1980	160-199 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	1046
1971-1980	200-249 kvm	Boliger (bebodde og ubebodde)	2024	K-1149 Karmøy	782
