statistikkvariabel	region	bygningstype	ar	Boligbygg,
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2018	14
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2019	4
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2020	8
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2021	6
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2022	6
Fullforte boliger	K-1149 Karmoy	122 Tomannsbolig, horisontaldelt	2023	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2013	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2014	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2015	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2016	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2017	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2018	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2019	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2020	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2021	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2022	0
Fullforte boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2023	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2013	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2014	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2015	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2016	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2017	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2018	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2019	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2020	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2021	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2022	0
Fullforte boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2023	0
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2013	16
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2014	18
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2015	28
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2016	28
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2017	37
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2018	27
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2019	33
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2020	35
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2021	25
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2022	31
Fullforte boliger	K-1149 Karmoy	131 Rekkehus	2023	11
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2013	1
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2014	2
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2015	9
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2016	4
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2017	5
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2018	3
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2019	7
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2020	7
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2021	4
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2022	3
Fullforte boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2023	3
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2013	8
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2014	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2015	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2016	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2017	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2018	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2019	1
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2020	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2021	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2022	0
Fullforte boliger	K-1149 Karmoy	135 Terrassehus	2023	0
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2013	32
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2014	28
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2015	19
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2016	28
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2017	28
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2018	26
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2019	21
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2020	28
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2021	12
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2022	14
Fullforte boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2023	4
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2013	0
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2014	14
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2015	0
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2016	0
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2017	0
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2018	6
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2019	38
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2020	6
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2021	0
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2022	14
Fullforte boliger	K-1149 Karmoy	141 Store frittliggende boligbygg pa 2 etasjer	2023	0
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2013	26
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2014	50
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2015	54
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2016	0
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2017	0
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2018	5
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2019	0
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2020	0
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2021	53
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2022	0
Fullforte boliger	K-1149 Karmoy	142 Store frittliggende boligbygg pa 3 og 4 etasjer	2023	23
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2013	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2014	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2015	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2016	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2017	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2018	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2019	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2020	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2021	0
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2022	6
Fullforte boliger	K-1149 Karmoy	143 Store frittliggende boligbygg pa 5 etasjer eller over	2023	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2013	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2014	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2015	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2016	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2017	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2018	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2019	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2020	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2021	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2022	0
Fullforte boliger	K-1149 Karmoy	144 Stort sammenbygd boligbygg pa 2 etasjer	2023	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2013	8
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2014	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2015	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2016	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2017	12
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2018	15
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2019	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2020	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2021	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2022	0
Fullforte boliger	K-1149 Karmoy	145 Stort sammenbygd boligbygg pa 3 og 4 etasjer	2023	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2013	8
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2014	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2015	9
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2016	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2017	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2018	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2019	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2020	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2021	0
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2022	16
Fullforte boliger	K-1149 Karmoy	146 Stort sammenbygd boligbygg pa 5 etasjer eller over	2023	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2013	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2014	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2015	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2016	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2017	12
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2018	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2019	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2020	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2021	0
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2022	6
Fullforte boliger	K-1149 Karmoy	151 Bo- og servicesenter	2023	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2013	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2014	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2015	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2016	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2017	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2018	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2019	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2020	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2021	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2022	0
Fullforte boliger	K-1149 Karmoy	152 Studenthjem/studentboliger	2023	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2013	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2014	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2015	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2016	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2017	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2018	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2019	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2020	6
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2021	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2022	0
Fullforte boliger	K-1149 Karmoy	159 Annen bygning for bofellesskap	2023	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2013	15
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2014	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2015	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2016	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2017	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2018	1
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2019	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2020	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2021	0
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2022	4
Fullforte boliger	K-1149 Karmoy	000 Andre bygg enn boligbygg	2023	8
