statistikkvariabel	region	bygningstype	ar	Boligbygg,
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	123 Del av vaninghus  tomannsbustad, vertikaltdelt	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2013	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2020	2
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	124 Vaningshus tomannsbolig, horisontaltdelt	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2013	9
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2014	47
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2015	33
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2016	35
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2017	35
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2018	37
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2019	41
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2020	20
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2021	37
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2022	30
Igangsettingstillatelser boliger	K-1149 Karmoy	131 Rekkehus	2023	6
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2013	13
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2015	5
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2016	8
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2018	12
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2019	11
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2021	6
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	133 Kjedehus inkl.atriumhus	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2013	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2014	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2015	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2016	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2017	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2018	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2019	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2020	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2021	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2022	0
Igangsettingstillatelser boliger	K-1149 Karmoy	135 Terrassehus	2023	0
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2013	28
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2014	16
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2015	30
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2016	36
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2017	36
Igangsettingstillatelser boliger	K-1149 Karmoy	136 Andre smahus med 3 boliger eller flere	2018	23
