region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490105 Vea	16-19 år	Personer	2024	Menn	25
11490105 Vea	16-19 år	Personer	2024	Kvinner	19
11490105 Vea	20-24 år	Personer	2024	Menn	16
11490105 Vea	20-24 år	Personer	2024	Kvinner	16
11490105 Vea	25-29 år	Personer	2024	Menn	40
11490105 Vea	25-29 år	Personer	2024	Kvinner	28
11490105 Vea	30-49 år	Personer	2024	Menn	103
11490105 Vea	30-49 år	Personer	2024	Kvinner	133
11490105 Vea	50-59 år	Personer	2024	Menn	54
11490105 Vea	50-59 år	Personer	2024	Kvinner	44
11490105 Vea	60-66 år	Personer	2024	Menn	24
11490105 Vea	60-66 år	Personer	2024	Kvinner	35
11490105 Vea	67-69 år	Personer	2024	Menn	9
11490105 Vea	67-69 år	Personer	2024	Kvinner	8
11490105 Vea	70-79 år	Personer	2024	Menn	31
11490105 Vea	70-79 år	Personer	2024	Kvinner	29
11490105 Vea	80 år eller eldre	Personer	2024	Menn	12
11490105 Vea	80 år eller eldre	Personer	2024	Kvinner	21
11490201 Heiå	0-5 år	Personer	2024	Menn	6
11490201 Heiå	0-5 år	Personer	2024	Kvinner	6
11490201 Heiå	6-15 år	Personer	2024	Menn	16
11490201 Heiå	6-15 år	Personer	2024	Kvinner	15
11490201 Heiå	16-19 år	Personer	2024	Menn	10
11490201 Heiå	16-19 år	Personer	2024	Kvinner	10
11490201 Heiå	20-24 år	Personer	2024	Menn	8
11490201 Heiå	20-24 år	Personer	2024	Kvinner	5
11490201 Heiå	25-29 år	Personer	2024	Menn	13
11490201 Heiå	25-29 år	Personer	2024	Kvinner	5
11490201 Heiå	30-49 år	Personer	2024	Menn	29
11490201 Heiå	30-49 år	Personer	2024	Kvinner	30
11490201 Heiå	50-59 år	Personer	2024	Menn	16
11490201 Heiå	50-59 år	Personer	2024	Kvinner	13
11490201 Heiå	60-66 år	Personer	2024	Menn	8
11490201 Heiå	60-66 år	Personer	2024	Kvinner	9
11490201 Heiå	67-69 år	Personer	2024	Menn	7
11490201 Heiå	67-69 år	Personer	2024	Kvinner	3
11490201 Heiå	70-79 år	Personer	2024	Menn	7
11490201 Heiå	70-79 år	Personer	2024	Kvinner	10
11490201 Heiå	80 år eller eldre	Personer	2024	Menn	6
11490201 Heiå	80 år eller eldre	Personer	2024	Kvinner	7
11490202 Mannes	0-5 år	Personer	2024	Menn	35
11490202 Mannes	0-5 år	Personer	2024	Kvinner	33
11490202 Mannes	6-15 år	Personer	2024	Menn	38
11490202 Mannes	6-15 år	Personer	2024	Kvinner	31
11490202 Mannes	16-19 år	Personer	2024	Menn	9
11490202 Mannes	16-19 år	Personer	2024	Kvinner	18
11490202 Mannes	20-24 år	Personer	2024	Menn	20
11490202 Mannes	20-24 år	Personer	2024	Kvinner	23
11490202 Mannes	25-29 år	Personer	2024	Menn	36
11490202 Mannes	25-29 år	Personer	2024	Kvinner	21
11490202 Mannes	30-49 år	Personer	2024	Menn	83
11490202 Mannes	30-49 år	Personer	2024	Kvinner	80
11490202 Mannes	50-59 år	Personer	2024	Menn	51
11490202 Mannes	50-59 år	Personer	2024	Kvinner	54
11490202 Mannes	60-66 år	Personer	2024	Menn	31
11490202 Mannes	60-66 år	Personer	2024	Kvinner	29
11490202 Mannes	67-69 år	Personer	2024	Menn	11
11490202 Mannes	67-69 år	Personer	2024	Kvinner	6
11490202 Mannes	70-79 år	Personer	2024	Menn	19
11490202 Mannes	70-79 år	Personer	2024	Kvinner	20
11490202 Mannes	80 år eller eldre	Personer	2024	Menn	3
11490202 Mannes	80 år eller eldre	Personer	2024	Kvinner	12
11490203 Sevlandsvik	0-5 år	Personer	2024	Menn	17
11490203 Sevlandsvik	0-5 år	Personer	2024	Kvinner	13
11490203 Sevlandsvik	6-15 år	Personer	2024	Menn	32
11490203 Sevlandsvik	6-15 år	Personer	2024	Kvinner	22
11490203 Sevlandsvik	16-19 år	Personer	2024	Menn	15
11490203 Sevlandsvik	16-19 år	Personer	2024	Kvinner	8
11490203 Sevlandsvik	20-24 år	Personer	2024	Menn	20
11490203 Sevlandsvik	20-24 år	Personer	2024	Kvinner	15
11490203 Sevlandsvik	25-29 år	Personer	2024	Menn	9
11490203 Sevlandsvik	25-29 år	Personer	2024	Kvinner	9
11490203 Sevlandsvik	30-49 år	Personer	2024	Menn	50
11490203 Sevlandsvik	30-49 år	Personer	2024	Kvinner	50
11490203 Sevlandsvik	50-59 år	Personer	2024	Menn	40
11490203 Sevlandsvik	50-59 år	Personer	2024	Kvinner	40
11490203 Sevlandsvik	60-66 år	Personer	2024	Menn	19
11490203 Sevlandsvik	60-66 år	Personer	2024	Kvinner	19
11490203 Sevlandsvik	67-69 år	Personer	2024	Menn	9
11490203 Sevlandsvik	67-69 år	Personer	2024	Kvinner	7
11490203 Sevlandsvik	70-79 år	Personer	2024	Menn	22
11490203 Sevlandsvik	70-79 år	Personer	2024	Kvinner	23
11490203 Sevlandsvik	80 år eller eldre	Personer	2024	Menn	9
11490203 Sevlandsvik	80 år eller eldre	Personer	2024	Kvinner	11
11490204 Varne	0-5 år	Personer	2024	Menn	5
11490204 Varne	0-5 år	Personer	2024	Kvinner	5
11490204 Varne	6-15 år	Personer	2024	Menn	17
11490204 Varne	6-15 år	Personer	2024	Kvinner	20
11490204 Varne	16-19 år	Personer	2024	Menn	7
11490204 Varne	16-19 år	Personer	2024	Kvinner	6
11490204 Varne	20-24 år	Personer	2024	Menn	11
11490204 Varne	20-24 år	Personer	2024	Kvinner	7
11490204 Varne	25-29 år	Personer	2024	Menn	4
11490204 Varne	25-29 år	Personer	2024	Kvinner	5
11490204 Varne	30-49 år	Personer	2024	Menn	32
11490204 Varne	30-49 år	Personer	2024	Kvinner	35
11490204 Varne	50-59 år	Personer	2024	Menn	22
11490204 Varne	50-59 år	Personer	2024	Kvinner	24
11490204 Varne	60-66 år	Personer	2024	Menn	12
11490204 Varne	60-66 år	Personer	2024	Kvinner	15
11490204 Varne	67-69 år	Personer	2024	Menn	3
11490204 Varne	67-69 år	Personer	2024	Kvinner	6
11490204 Varne	70-79 år	Personer	2024	Menn	12
11490204 Varne	70-79 år	Personer	2024	Kvinner	10
11490204 Varne	80 år eller eldre	Personer	2024	Menn	5
11490204 Varne	80 år eller eldre	Personer	2024	Kvinner	7
11490301 Tjøsvoll	0-5 år	Personer	2024	Menn	9
11490301 Tjøsvoll	0-5 år	Personer	2024	Kvinner	11
11490301 Tjøsvoll	6-15 år	Personer	2024	Menn	53
11490301 Tjøsvoll	6-15 år	Personer	2024	Kvinner	38
11490301 Tjøsvoll	16-19 år	Personer	2024	Menn	16
11490301 Tjøsvoll	16-19 år	Personer	2024	Kvinner	19
11490301 Tjøsvoll	20-24 år	Personer	2024	Menn	18
11490301 Tjøsvoll	20-24 år	Personer	2024	Kvinner	12
11490301 Tjøsvoll	25-29 år	Personer	2024	Menn	13
11490301 Tjøsvoll	25-29 år	Personer	2024	Kvinner	12
11490301 Tjøsvoll	30-49 år	Personer	2024	Menn	61
11490301 Tjøsvoll	30-49 år	Personer	2024	Kvinner	65
11490301 Tjøsvoll	50-59 år	Personer	2024	Menn	40
11490301 Tjøsvoll	50-59 år	Personer	2024	Kvinner	42
11490301 Tjøsvoll	60-66 år	Personer	2024	Menn	15
11490301 Tjøsvoll	60-66 år	Personer	2024	Kvinner	12
11490301 Tjøsvoll	67-69 år	Personer	2024	Menn	7
11490301 Tjøsvoll	67-69 år	Personer	2024	Kvinner	6
11490301 Tjøsvoll	70-79 år	Personer	2024	Menn	14
11490301 Tjøsvoll	70-79 år	Personer	2024	Kvinner	18
11490301 Tjøsvoll	80 år eller eldre	Personer	2024	Menn	8
11490301 Tjøsvoll	80 år eller eldre	Personer	2024	Kvinner	13
11490302 Tjøsvoll Øst	0-5 år	Personer	2024	Menn	52
11490302 Tjøsvoll Øst	0-5 år	Personer	2024	Kvinner	43
11490302 Tjøsvoll Øst	6-15 år	Personer	2024	Menn	90
11490302 Tjøsvoll Øst	6-15 år	Personer	2024	Kvinner	88
