region	boligtype	kvartal	statistikkvariabel	05963: Selveierboliger,
1102 Sandnes (-2019)	Småhus	2014K4	Gjennomsnittlig kvadratmeterpris (kr)	31284
1102 Sandnes (-2019)	Småhus	2015K1	Gjennomsnittlig kvadratmeterpris (kr)	32223
1102 Sandnes (-2019)	Småhus	2015K2	Gjennomsnittlig kvadratmeterpris (kr)	30079
1102 Sandnes (-2019)	Småhus	2015K3	Gjennomsnittlig kvadratmeterpris (kr)	30705
1102 Sandnes (-2019)	Småhus	2015K4	Gjennomsnittlig kvadratmeterpris (kr)	29708
1102 Sandnes (-2019)	Småhus	2016K1	Gjennomsnittlig kvadratmeterpris (kr)	30139
1102 Sandnes (-2019)	Småhus	2016K2	Gjennomsnittlig kvadratmeterpris (kr)	29087
1102 Sandnes (-2019)	Småhus	2016K3	Gjennomsnittlig kvadratmeterpris (kr)	29541
1102 Sandnes (-2019)	Småhus	2016K4	Gjennomsnittlig kvadratmeterpris (kr)	30170
1102 Sandnes (-2019)	Småhus	2017K1	Gjennomsnittlig kvadratmeterpris (kr)	30279
1102 Sandnes (-2019)	Småhus	2017K2	Gjennomsnittlig kvadratmeterpris (kr)	29116
1102 Sandnes (-2019)	Småhus	2017K3	Gjennomsnittlig kvadratmeterpris (kr)	28895
1102 Sandnes (-2019)	Småhus	2017K4	Gjennomsnittlig kvadratmeterpris (kr)	29243
1102 Sandnes (-2019)	Småhus	2018K1	Gjennomsnittlig kvadratmeterpris (kr)	30354
1102 Sandnes (-2019)	Småhus	2018K2	Gjennomsnittlig kvadratmeterpris (kr)	29740
1102 Sandnes (-2019)	Småhus	2018K3	Gjennomsnittlig kvadratmeterpris (kr)	30283
1102 Sandnes (-2019)	Småhus	2018K4	Gjennomsnittlig kvadratmeterpris (kr)	30406
1102 Sandnes (-2019)	Småhus	2019K1	Gjennomsnittlig kvadratmeterpris (kr)	29541
1102 Sandnes (-2019)	Småhus	2019K2	Gjennomsnittlig kvadratmeterpris (kr)	28722
1102 Sandnes (-2019)	Småhus	2019K3	Gjennomsnittlig kvadratmeterpris (kr)	29766
