region	alder	statistikkvariabel	ar	kjonn	04362: Befolkning,
11490201 Heia	67-69 ar	Personer	2024	Kvinner	3
11490201 Heia	70-79 ar	Personer	2024	Menn	7
11490201 Heia	70-79 ar	Personer	2024	Kvinner	10
11490201 Heia	80 ar eller eldre	Personer	2024	Menn	6
11490201 Heia	80 ar eller eldre	Personer	2024	Kvinner	7
11490202 Mannes	20-24 ar	Personer	2024	Menn	20
11490202 Mannes	20-24 ar	Personer	2024	Kvinner	23
11490202 Mannes	25-29 ar	Personer	2024	Menn	36
11490202 Mannes	25-29 ar	Personer	2024	Kvinner	21
11490202 Mannes	30-49 ar	Personer	2024	Menn	83
11490202 Mannes	30-49 ar	Personer	2024	Kvinner	80
11490202 Mannes	50-59 ar	Personer	2024	Menn	51
11490202 Mannes	50-59 ar	Personer	2024	Kvinner	54
11490202 Mannes	60-66 ar	Personer	2024	Menn	31
11490202 Mannes	60-66 ar	Personer	2024	Kvinner	29
11490202 Mannes	67-69 ar	Personer	2024	Menn	11
11490202 Mannes	67-69 ar	Personer	2024	Kvinner	6
11490202 Mannes	70-79 ar	Personer	2024	Menn	19
11490202 Mannes	70-79 ar	Personer	2024	Kvinner	20
11490202 Mannes	80 ar eller eldre	Personer	2024	Menn	3
11490202 Mannes	80 ar eller eldre	Personer	2024	Kvinner	12
11490203 Sevlandsvik	20-24 ar	Personer	2024	Menn	20
11490203 Sevlandsvik	20-24 ar	Personer	2024	Kvinner	15
11490203 Sevlandsvik	25-29 ar	Personer	2024	Menn	9
11490203 Sevlandsvik	25-29 ar	Personer	2024	Kvinner	9
11490203 Sevlandsvik	30-49 ar	Personer	2024	Menn	50
11490203 Sevlandsvik	30-49 ar	Personer	2024	Kvinner	50
11490203 Sevlandsvik	50-59 ar	Personer	2024	Menn	40
11490203 Sevlandsvik	50-59 ar	Personer	2024	Kvinner	40
11490203 Sevlandsvik	60-66 ar	Personer	2024	Menn	19
11490203 Sevlandsvik	60-66 ar	Personer	2024	Kvinner	19
11490203 Sevlandsvik	67-69 ar	Personer	2024	Menn	9
11490203 Sevlandsvik	67-69 ar	Personer	2024	Kvinner	7
11490203 Sevlandsvik	70-79 ar	Personer	2024	Menn	22
11490203 Sevlandsvik	70-79 ar	Personer	2024	Kvinner	23
11490203 Sevlandsvik	80 ar eller eldre	Personer	2024	Menn	9
11490203 Sevlandsvik	80 ar eller eldre	Personer	2024	Kvinner	11
11490204 Varne	20-24 ar	Personer	2024	Menn	11
11490204 Varne	20-24 ar	Personer	2024	Kvinner	7
11490204 Varne	25-29 ar	Personer	2024	Menn	4
11490204 Varne	25-29 ar	Personer	2024	Kvinner	5
11490204 Varne	30-49 ar	Personer	2024	Menn	32
11490204 Varne	30-49 ar	Personer	2024	Kvinner	35
11490204 Varne	50-59 ar	Personer	2024	Menn	22
11490204 Varne	50-59 ar	Personer	2024	Kvinner	24
11490204 Varne	60-66 ar	Personer	2024	Menn	12
11490204 Varne	60-66 ar	Personer	2024	Kvinner	15
11490204 Varne	67-69 ar	Personer	2024	Menn	3
11490204 Varne	67-69 ar	Personer	2024	Kvinner	6
11490204 Varne	70-79 ar	Personer	2024	Menn	12
11490204 Varne	70-79 ar	Personer	2024	Kvinner	10
11490204 Varne	80 ar eller eldre	Personer	2024	Menn	5
11490204 Varne	80 ar eller eldre	Personer	2024	Kvinner	7
11490301 Tjosvoll	20-24 ar	Personer	2024	Menn	18
11490301 Tjosvoll	20-24 ar	Personer	2024	Kvinner	12
11490301 Tjosvoll	25-29 ar	Personer	2024	Menn	13
11490301 Tjosvoll	25-29 ar	Personer	2024	Kvinner	12
11490301 Tjosvoll	30-49 ar	Personer	2024	Menn	61
11490301 Tjosvoll	30-49 ar	Personer	2024	Kvinner	65
11490301 Tjosvoll	50-59 ar	Personer	2024	Menn	40
11490301 Tjosvoll	50-59 ar	Personer	2024	Kvinner	42
11490301 Tjosvoll	60-66 ar	Personer	2024	Menn	15
11490301 Tjosvoll	60-66 ar	Personer	2024	Kvinner	12
11490301 Tjosvoll	67-69 ar	Personer	2024	Menn	7
11490301 Tjosvoll	67-69 ar	Personer	2024	Kvinner	6
11490301 Tjosvoll	70-79 ar	Personer	2024	Menn	14
11490301 Tjosvoll	70-79 ar	Personer	2024	Kvinner	18
11490301 Tjosvoll	80 ar eller eldre	Personer	2024	Menn	8
11490301 Tjosvoll	80 ar eller eldre	Personer	2024	Kvinner	13
11490302 Tjosvoll ost	20-24 ar	Personer	2024	Menn	39
11490302 Tjosvoll ost	20-24 ar	Personer	2024	Kvinner	39
11490302 Tjosvoll ost	25-29 ar	Personer	2024	Menn	34
11490302 Tjosvoll ost	25-29 ar	Personer	2024	Kvinner	43
11490302 Tjosvoll ost	30-49 ar	Personer	2024	Menn	167
11490302 Tjosvoll ost	30-49 ar	Personer	2024	Kvinner	151
11490302 Tjosvoll ost	50-59 ar	Personer	2024	Menn	61
11490302 Tjosvoll ost	50-59 ar	Personer	2024	Kvinner	57
11490302 Tjosvoll ost	60-66 ar	Personer	2024	Menn	26
11490302 Tjosvoll ost	60-66 ar	Personer	2024	Kvinner	38
11490302 Tjosvoll ost	67-69 ar	Personer	2024	Menn	16
11490302 Tjosvoll ost	67-69 ar	Personer	2024	Kvinner	15
11490302 Tjosvoll ost	70-79 ar	Personer	2024	Menn	28
11490302 Tjosvoll ost	70-79 ar	Personer	2024	Kvinner	22
11490302 Tjosvoll ost	80 ar eller eldre	Personer	2024	Menn	6
11490302 Tjosvoll ost	80 ar eller eldre	Personer	2024	Kvinner	7
11490303 akrehamn	20-24 ar	Personer	2024	Menn	34
11490303 akrehamn	20-24 ar	Personer	2024	Kvinner	28
11490303 akrehamn	25-29 ar	Personer	2024	Menn	31
11490303 akrehamn	25-29 ar	Personer	2024	Kvinner	32
11490303 akrehamn	30-49 ar	Personer	2024	Menn	143
11490303 akrehamn	30-49 ar	Personer	2024	Kvinner	145
11490303 akrehamn	50-59 ar	Personer	2024	Menn	99
11490303 akrehamn	50-59 ar	Personer	2024	Kvinner	101
11490303 akrehamn	60-66 ar	Personer	2024	Menn	53
11490303 akrehamn	60-66 ar	Personer	2024	Kvinner	49
11490303 akrehamn	67-69 ar	Personer	2024	Menn	20
11490303 akrehamn	67-69 ar	Personer	2024	Kvinner	28
11490303 akrehamn	70-79 ar	Personer	2024	Menn	55
11490303 akrehamn	70-79 ar	Personer	2024	Kvinner	68
11490303 akrehamn	80 ar eller eldre	Personer	2024	Menn	41
11490303 akrehamn	80 ar eller eldre	Personer	2024	Kvinner	54
11490304 arvold	20-24 ar	Personer	2024	Menn	32
11490304 arvold	20-24 ar	Personer	2024	Kvinner	25
11490304 arvold	25-29 ar	Personer	2024	Menn	27
11490304 arvold	25-29 ar	Personer	2024	Kvinner	20
11490304 arvold	30-49 ar	Personer	2024	Menn	102
11490304 arvold	30-49 ar	Personer	2024	Kvinner	103
11490304 arvold	50-59 ar	Personer	2024	Menn	67
11490304 arvold	50-59 ar	Personer	2024	Kvinner	60
11490304 arvold	60-66 ar	Personer	2024	Menn	39
11490304 arvold	60-66 ar	Personer	2024	Kvinner	25
11490304 arvold	67-69 ar	Personer	2024	Menn	8
11490304 arvold	67-69 ar	Personer	2024	Kvinner	11
11490304 arvold	70-79 ar	Personer	2024	Menn	15
11490304 arvold	70-79 ar	Personer	2024	Kvinner	27
11490304 arvold	80 ar eller eldre	Personer	2024	Menn	12
11490304 arvold	80 ar eller eldre	Personer	2024	Kvinner	17
11490305 Grindhaug	20-24 ar	Personer	2024	Menn	24
11490305 Grindhaug	20-24 ar	Personer	2024	Kvinner	14
11490305 Grindhaug	25-29 ar	Personer	2024	Menn	14
11490305 Grindhaug	25-29 ar	Personer	2024	Kvinner	17
11490305 Grindhaug	30-49 ar	Personer	2024	Menn	63
11490305 Grindhaug	30-49 ar	Personer	2024	Kvinner	79
11490305 Grindhaug	50-59 ar	Personer	2024	Menn	44
11490305 Grindhaug	50-59 ar	Personer	2024	Kvinner	39
11490305 Grindhaug	60-66 ar	Personer	2024	Menn	19
11490305 Grindhaug	60-66 ar	Personer	2024	Kvinner	19
11490305 Grindhaug	67-69 ar	Personer	2024	Menn	9
11490305 Grindhaug	67-69 ar	Personer	2024	Kvinner	5
11490305 Grindhaug	70-79 ar	Personer	2024	Menn	17
11490305 Grindhaug	70-79 ar	Personer	2024	Kvinner	22
11490305 Grindhaug	80 ar eller eldre	Personer	2024	Menn	6
11490305 Grindhaug	80 ar eller eldre	Personer	2024	Kvinner	16
11490306 Mosbron	20-24 ar	Personer	2024	Menn	25
11490306 Mosbron	20-24 ar	Personer	2024	Kvinner	22
11490306 Mosbron	25-29 ar	Personer	2024	Menn	33
11490306 Mosbron	25-29 ar	Personer	2024	Kvinner	24
11490306 Mosbron	30-49 ar	Personer	2024	Menn	103
11490306 Mosbron	30-49 ar	Personer	2024	Kvinner	99
11490306 Mosbron	50-59 ar	Personer	2024	Menn	67
11490306 Mosbron	50-59 ar	Personer	2024	Kvinner	66
11490306 Mosbron	60-66 ar	Personer	2024	Menn	27
11490306 Mosbron	60-66 ar	Personer	2024	Kvinner	28
11490306 Mosbron	67-69 ar	Personer	2024	Menn	10
11490306 Mosbron	67-69 ar	Personer	2024	Kvinner	11
11490306 Mosbron	70-79 ar	Personer	2024	Menn	35
11490306 Mosbron	70-79 ar	Personer	2024	Kvinner	33
11490306 Mosbron	80 ar eller eldre	Personer	2024	Menn	11
11490306 Mosbron	80 ar eller eldre	Personer	2024	Kvinner	22
11490307 Stong	20-24 ar	Personer	2024	Menn	39
11490307 Stong	20-24 ar	Personer	2024	Kvinner	28
11490307 Stong	25-29 ar	Personer	2024	Menn	40
11490307 Stong	25-29 ar	Personer	2024	Kvinner	24
11490307 Stong	30-49 ar	Personer	2024	Menn	78
11490307 Stong	30-49 ar	Personer	2024	Kvinner	86
11490307 Stong	50-59 ar	Personer	2024	Menn	55
11490307 Stong	50-59 ar	Personer	2024	Kvinner	59
11490307 Stong	60-66 ar	Personer	2024	Menn	41
11490307 Stong	60-66 ar	Personer	2024	Kvinner	38
11490307 Stong	67-69 ar	Personer	2024	Menn	11
11490307 Stong	67-69 ar	Personer	2024	Kvinner	13
11490307 Stong	70-79 ar	Personer	2024	Menn	35
11490307 Stong	70-79 ar	Personer	2024	Kvinner	46
11490307 Stong	80 ar eller eldre	Personer	2024	Menn	17
11490307 Stong	80 ar eller eldre	Personer	2024	Kvinner	26
11490308 adland	20-24 ar	Personer	2024	Menn	21
11490308 adland	20-24 ar	Personer	2024	Kvinner	24
11490308 adland	25-29 ar	Personer	2024	Menn	23
11490308 adland	25-29 ar	Personer	2024	Kvinner	19
11490308 adland	30-49 ar	Personer	2024	Menn	95
11490308 adland	30-49 ar	Personer	2024	Kvinner	99
