0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0.29064497,0.8896942,0.83451253,0.18190168,0.44637817,0.34526512,0.3550954,0.7921978,0.27118465,0.25558335,0.69425404,0.14811586,0.6361696,0.49288523,0.8472517,0.42746478,0.25281036,0.20672666
0.5153394,0.00939251,0.99999833,0.014275484,0.06381622,0.3619064,0.71448237,0.999994,0.73734426,0.9991631,0.99998194,0.00016556498,0.14171074,0.00033241886,0.9999986,0.96801114,0.0014368466,3.0955346e-06
0.20028344,0.60922575,0.895771,0.0028713963,0.8930632,0.98371524,0.9993596,0.9975489,0.99044514,0.9983422,0.9991666,0.0005818212,0.99835694,0.0005583796,0.99805874,0.49599096,0.06977265,0.00023195366
0.24561977,0.9837758,0.815103,0.08348482,0.93575686,0.8398842,0.8546366,0.5966356,0.039284244,0.6177246,0.88036394,0.054750476,0.7925748,0.21232957,0.8077941,0.07802551,0.037783314,0.012831992
0.086613454,0.99649763,0.9999989,0.99969345,0.9999994,0.9970458,0.9999416,0.99999726,0.9753678,0.9617694,0.99383676,2.599962e-06,0.98613393,0.005311137,0.99995756,0.9995244,0.93845516,0.00036523034
0.28865823,0.90278816,0.7058129,0.067531265,0.63883483,0.7187614,0.76608235,0.84768677,0.5932917,0.4078481,0.9366114,0.031760573,0.86283445,0.15615703,0.91912514,0.2833099,0.15989994,0.060284495
0.30305165,0.93561935,0.94344074,0.98919255,0.99503344,0.8711011,0.54189295,0.32000118,0.012153425,0.50511116,0.7907639,0.6393545,0.119533785,0.83141285,0.86066157,0.6140132,0.6031381,0.40992984
0.103136115,0.9947415,0.42388827,0.8697196,0.9953671,0.99514824,0.94429785,0.33060583,0.24945655,0.41336447,0.9543646,0.037320342,0.94955707,0.74765617,0.91392344,0.46439484,0.9146857,0.5048727
0.955923,0.07297114,0.005515953,0.013867561,0.048032217,0.3834765,0.9336588,0.011908983,0.7021871,0.99874765,0.42736062,0.98609567,0.49355412,0.026472637,0.14842904,0.06537717,0.031139823,0.24481578
0.5606174,0.5543525,0.8062503,0.6076541,0.64526373,0.31326547,0.30885628,0.57797664,0.20632543,0.365276,0.66269356,0.5342414,0.1828313,0.44599617,0.6831321,0.45237163,0.20819433,0.30616757
0.81459665,0.038498588,0.025378183,0.7916635,0.53301644,0.8392489,0.6108531,0.12400718,0.94559604,0.45557174,0.7421853,0.76143706,0.4027346,0.36990696,0.09294311,0.46746725,0.80056995,0.9270849
0.007040835,0.999227,0.3209755,0.04104525,0.9999617,0.9985833,0.9998243,0.9626408,0.83005995,0.6143948,0.9963729,0.0012397069,0.9998893,0.014007663,0.9595307,0.07232283,0.39276275,0.0019464876
0.05242485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999994,7.9200715e-16,0.9998358,5.2727476e-08,1.0,1.0,1.0,2.9667535e-07
0.19783892,0.9998441,0.99920046,0.9999708,1.0,0.99999833,0.9999978,0.9948375,0.88990337,0.9913751,0.9987311,4.037554e-06,0.99459505,0.025259677,0.999353,0.9912686,0.990707,0.005258275
0.06351903,0.98645014,0.8186637,0.74166745,0.94691527,0.9249259,0.5916158,0.6106425,0.104458034,0.3719774,0.9324815,0.14837949,0.8512956,0.85982215,0.97832024,0.6511908,0.8708754,0.5036857
0.42814773,0.82187873,0.62098235,0.46625403,0.4207207,0.23731062,0.16689734,0.28050905,0.1293336,0.31780958,0.8082743,0.7951293,0.1659945,0.6490694,0.93010485,0.40585163,0.2673517,0.54420495
0.17973258,0.9941326,0.9903706,0.0649269,0.13486099,0.028808499,0.08566488,0.8506337,0.010668141,0.3698524,0.3602801,0.28442428,0.36036232,0.756873,0.98763156,0.4858471,0.06366476,0.07645676
0.8297021,0.20921786,0.9967598,0.9996173,0.0007038343,2.2322583e-05,1.2086204e-05,0.10602844,0.000661863,0.14008327,4.4170283e-06,0.99997383,0.00014716378,0.9999697,0.07361522,0.99830526,0.99084085,0.99995965
0.46641308,0.92300916,0.07805279,0.23763709,0.22221817,0.3221142,0.3773983,0.05674896,0.30539128,0.5598091,0.36701536,0.901807,0.595066,0.75853306,0.6950867,0.33326578,0.5776565,0.87927043
0.92306346,0.032658145,0.3848518,0.14981815,0.104763515,0.42743716,0.52724797,0.5992494,0.885099,0.70621324,0.8365815,0.23418,0.18483122,0.052004937,0.3258623,0.29807344,0.059636313,0.15415415
0.18580958,0.639648,0.22830473,0.0033757733,0.06460172,0.15336461,0.1710838,0.53325635,0.16185324,0.20244138,0.57204074,0.48288137,0.84113735,0.41459167,0.24445498,0.044423833,0.04999944,0.114945605
0.49830878,0.9767385,0.96940464,0.90019894,0.9953047,0.97143096,0.9411444,0.86623555,0.27192485,0.38631228,0.95645994,0.0045127072,0.5267864,0.17907447,0.9331393,0.51099753,0.23165454,0.033841565
0.36924067,0.9900779,0.92224175,0.098494336,0.77284616,0.79819614,0.6115921,0.53667265,0.028941821,0.5548984,0.9851141,0.037004545,0.35496345,0.2231997,0.9914996,0.11388372,0.020340858,0.01263826
0.60876685,0.19464123,0.07014195,0.1626152,0.1377233,0.3283144,0.6062063,0.25367334,0.8636544,0.8560193,0.50893795,0.8864465,0.7181571,0.30796567,0.47231206,0.49790916,0.5923926,0.76966214
0.48933485,0.4998554,0.35576323,0.19676882,0.22859092,0.43215722,0.47485164,0.57699716,0.6939019,0.4963015,0.46618772,0.35341373,0.7396307,0.4572296,0.42265242,0.48636892,0.51589864,0.56120694
1.8979665e-06,1.0,6.5575954e-09,1.2781473e-10,1.0,1.0,1.0,0.7388459,0.99974483,8.525974e-07,0.9999998,9.409187e-10,1.0,2.8681409e-06,0.024384191,9.074998e-10,0.00024990877,1.1738757e-07
