Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.5950835,0.6306784,0.46088025,0.51402104,0.466094,0.56531787,0.5223056,0.41596606,0.45146185
0.5684242,0.5950306,0.47373366,0.5368546,0.47420517,0.5521648,0.5188752,0.45848173,0.44708526
0.6618388,0.66931474,0.41328335,0.47717872,0.45526642,0.5636985,0.50373775,0.3328419,0.42335775
0.64453864,0.5999452,0.40165275,0.46807107,0.4881377,0.49507952,0.4843313,0.35122883,0.44720474
0.5587979,0.5857385,0.4821231,0.55701643,0.47004965,0.5603671,0.5176437,0.48035526,0.42764434
0.6400908,0.69039214,0.44068,0.48313257,0.44799504,0.5944297,0.52742636,0.3505214,0.44703645
0.5812915,0.6153653,0.47266066,0.54797715,0.46026322,0.5747466,0.51842594,0.45234928,0.41953227
0.6331902,0.68401,0.44855672,0.5086813,0.44150805,0.60477257,0.5246703,0.37310582,0.4200563
0.5790286,0.6417002,0.47401962,0.45779032,0.46907836,0.59187955,0.551751,0.36636794,0.50826305
0.69624436,0.706897,0.39255062,0.44742364,0.44603565,0.5751812,0.5037595,0.28292036,0.42392364
0.6008831,0.66175675,0.46888018,0.49955434,0.44827145,0.61261135,0.5390402,0.3822623,0.44371232
0.6208322,0.66804624,0.45455953,0.51899916,0.4457039,0.5980955,0.5230846,0.39235508,0.4189254
0.54249436,0.58507246,0.48312512,0.46344304,0.49550384,0.54568475,0.5466276,0.40968618,0.54076236
0.495929,0.49208972,0.5015841,0.5693209,0.5086186,0.4959151,0.5123937,0.55476147,0.4733351
0.5524524,0.5774008,0.4878061,0.5777994,0.4663371,0.5649392,0.5142012,0.50233006,0.40733284
0.6618797,0.7205254,0.43485388,0.48639837,0.43053892,0.6221047,0.528226,0.33029842,0.41972107
0.6321626,0.6814563,0.44682226,0.49975327,0.44625422,0.5972132,0.5254618,0.36869332,0.43298566
0.6308587,0.6768371,0.4411416,0.46320388,0.4585278,0.5823953,0.531185,0.3419318,0.47354448
0.5854656,0.6229144,0.46973294,0.53247184,0.4615297,0.57541,0.5222535,0.4351338,0.43318015
0.610927,0.6520488,0.4539846,0.5038799,0.4595399,0.57590276,0.52402866,0.3931481,0.44914794
