0,1,2,3,4,5,6,7,8
0.7223284,0.69976974,0.6534089,0.8496278,0.132653,0.53939533,0.45912287,0.24160762,0.82740355
0.74355125,0.7970427,0.83766395,0.9432115,0.14610712,0.64591336,0.6841374,0.120636836,0.9259526
0.6284667,0.6629485,0.66092217,0.77757794,0.31051984,0.55091184,0.6095042,0.2703578,0.7573684
0.8304809,0.8794209,0.9205781,0.9832225,0.07121671,0.70840955,0.76595986,0.05250622,0.9741889
0.5702969,0.57341725,0.5207962,0.6055929,0.3903407,0.4909972,0.5274981,0.3931111,0.6001393
0.62936574,0.6202749,0.56689626,0.7075885,0.2757978,0.50638956,0.5017965,0.33492714,0.6921435
0.6451282,0.633567,0.5811588,0.73483145,0.24763604,0.51167774,0.49495944,0.3188216,0.717322
0.7559193,0.8056185,0.8430847,0.94557554,0.14129043,0.6440491,0.70398057,0.11170401,0.9279674
0.6495048,0.63726825,0.5851449,0.7421909,0.2400761,0.51316386,0.49303767,0.31436893,0.72417104
0.54464626,0.54326856,0.49354365,0.5436674,0.45249692,0.47630727,0.54101485,0.42950523,0.5420378
0.709593,0.7557803,0.7831258,0.9026122,0.19623664,0.6084194,0.66847396,0.16111837,0.8808294
0.7509505,0.80040455,0.8370606,0.9418089,0.1467802,0.6400992,0.7000849,0.11653502,0.92366266
0.8537338,0.919611,0.9659072,0.99647975,0.030350147,0.8072873,0.71103877,0.030204011,0.99399525
0.5720359,0.5723024,0.5161135,0.6005831,0.3885267,0.48782697,0.52576923,0.39435238,0.5951523
0.62749743,0.61870307,0.5652151,0.7042864,0.279229,0.50576895,0.5025987,0.3368432,0.6891088
0.53420717,0.5328614,0.48685881,0.53337073,0.46365526,0.47661364,0.5353335,0.44556755,0.534197
0.72349364,0.7999263,0.86481214,0.96422493,0.115774594,0.69640017,0.5889475,0.12773095,0.9536046
0.72327745,0.77077746,0.8016952,0.91722274,0.17914543,0.6186834,0.678786,0.14550419,0.89643407
0.65033287,0.6885527,0.6956015,0.8180344,0.27775592,0.5659411,0.6251055,0.2382494,0.79586434
0.736947,0.7125853,0.6676239,0.8675004,0.11545114,0.5451037,0.45175087,0.22732912,0.8453921
0.68639654,0.66868854,0.61923915,0.8003242,0.1811913,0.52605593,0.47636533,0.2771839,0.77915394
0.69374055,0.67499787,0.6261402,0.8110105,0.17054889,0.5287116,0.47293139,0.26985914,0.78946435
0.72262406,0.7830922,0.84155124,0.960634,0.10013728,0.6854073,0.5014631,0.15713836,0.9506936
0.53420717,0.5328614,0.48685881,0.53337073,0.46365526,0.47661364,0.5353335,0.44556755,0.534197
0.53420717,0.5328614,0.48685881,0.53337073,0.46365526,0.47661364,0.5353335,0.44556755,0.534197
0.56907773,0.56983775,0.51353395,0.5948117,0.39467883,0.486891,0.52697635,0.39745215,0.5899781
0.5794081,0.5784479,0.5225581,0.61488605,0.37330532,0.49016705,0.5227503,0.38664088,0.60799295
0.6753936,0.6592721,0.6089737,0.78374743,0.19781947,0.5221366,0.48143375,0.28820735,0.76329726
0.55263567,0.5528952,0.499674,0.56020427,0.43349427,0.4799741,0.5363716,0.41787055,0.55769795
0.61870325,0.6113137,0.55732745,0.6885494,0.29562995,0.50286436,0.50635284,0.34588128,0.6746914
0.53420717,0.5328614,0.48685881,0.53337073,0.46365526,0.47661364,0.5353335,0.44556755,0.534197
0.6921975,0.6736706,0.6246869,0.8087907,0.17275436,0.5281509,0.47365645,0.2713959,0.78731656
0.62263393,0.6242205,0.5844852,0.72370017,0.28225452,0.51863456,0.5086549,0.33070365,0.7086529
0.67470276,0.745102,0.80608,0.9352809,0.15540142,0.66328585,0.5222451,0.19637936,0.92323995
0.53420717,0.5328614,0.48685881,0.53337073,0.46365526,0.47661364,0.5353335,0.44556755,0.534197
0.7351999,0.7110478,0.6659147,0.8654319,0.11742997,0.5444117,0.45264423,0.22902933,0.8432941
0.7355862,0.78407526,0.81779766,0.9289427,0.16437954,0.62809294,0.68818074,0.13218704,0.90924215
0.67400116,0.7158137,0.73182005,0.8561494,0.24382414,0.58256626,0.6422091,0.20564021,0.83323246
0.6857875,0.7291937,0.7492616,0.87294525,0.2275849,0.5910045,0.6508268,0.19028147,0.8501348
0.6144703,0.6570118,0.66545993,0.78852665,0.30585882,0.56281877,0.5798926,0.2810692,0.7707409
0.65704066,0.64365315,0.5920363,0.75464314,0.2273346,0.51574254,0.48970294,0.30672196,0.7358108
0.53420717,0.5328614,0.48685881,0.53337073,0.46365526,0.47661364,0.5353335,0.44556755,0.534197
0.59554017,0.62375027,0.6070247,0.7076134,0.36199406,0.52877104,0.58628696,0.3219276,0.6927781
0.70151937,0.68170375,0.6334946,0.82199234,0.15967903,0.531562,0.46924636,0.26213005,0.80013907
0.61693764,0.6670696,0.6893725,0.82300884,0.27739012,0.5829486,0.55524236,0.2751538,0.80668247
0.7418436,0.8257272,0.8995682,0.9814683,0.0768952,0.7423652,0.52885807,0.11454097,0.9753464
0.82678664,0.79446733,0.76010567,0.9497116,0.04008183,0.58570653,0.39956042,0.14240082,0.93369067
0.9138862,0.9497684,0.9769369,0.9978066,0.020732157,0.7996943,0.8486241,0.013733553,0.9956906
0.5385847,0.538458,0.48995426,0.5376765,0.45704615,0.47630483,0.5388099,0.4370414,0.53815025
0.74469995,0.7457776,0.74098337,0.91756177,0.097994275,0.595027,0.46076587,0.1928528,0.90016687
0.7852005,0.8356364,0.87646025,0.96424073,0.11099153,0.6680816,0.7274585,0.08551243,0.9500026
0.6111698,0.65818983,0.6738537,0.80247986,0.29537818,0.57238346,0.56284297,0.28308362,0.78587836
0.87987846,0.92291766,0.9578961,0.9941601,0.037766214,0.75880593,0.8124036,0.026297947,0.98978484
0.8431388,0.8101573,0.7781355,0.95986176,0.031373803,0.5946181,0.3881918,0.12753081,0.9456079
0.8328452,0.88161045,0.9226238,0.98394525,0.06937915,0.71064615,0.7680612,0.05102509,0.97516584
