Q20r1,Q20r2,Q20r3,Q20r4,Q20r5,Q20r6,Q20r7,Q20r8,Q20r9
0.55044174,0.565947,0.5238772,0.5314399,0.5166242,0.5208934,0.5181933,0.52469677,0.5922055
0.5609937,0.58451426,0.5382832,0.5335192,0.51353776,0.53775746,0.51720583,0.55119413,0.62220496
0.5574178,0.5782362,0.5333994,0.53281355,0.5145855,0.5320411,0.517541,0.5422252,0.61211437
0.5452717,0.5568089,0.5168262,0.5304241,0.518131,0.5126383,0.51867545,0.51169693,0.5772865
0.5677798,0.5969728,0.5493874,0.535927,0.511666,0.549415,0.5158854,0.56936675,0.64339614
0.5576315,0.5786118,0.5336912,0.5328557,0.5145229,0.53238267,0.517521,0.5427616,0.6127197
0.5779797,0.61558515,0.56617504,0.53962684,0.50884646,0.5669646,0.5138479,0.59652025,0.6744801
0.56825113,0.59783703,0.5501637,0.5360975,0.5115361,0.5502267,0.5157916,0.57062835,0.6448577
0.5576382,0.57862365,0.53370035,0.53285706,0.514521,0.53239346,0.51752037,0.54277843,0.6127388
0.5578997,0.57908314,0.5340575,0.5329086,0.51444435,0.5328114,0.51749593,0.54343474,0.61347914
0.56312543,0.58841854,0.54171926,0.5342444,0.5129471,0.54139674,0.5168111,0.5568782,0.62884206
0.5690733,0.5993438,0.55151784,0.5363952,0.51130944,0.55164254,0.51562774,0.57282794,0.6474019
0.52798176,0.5256086,0.49435562,0.5275055,0.5150273,0.49748647,0.517652,0.483912,0.53314936
0.538135,0.5409828,0.50545394,0.52938026,0.5183924,0.50329673,0.5186624,0.49581495,0.55415386
0.5824946,0.6237577,0.57359403,0.5412708,0.50759244,0.5747176,0.5129418,0.60841775,0.68784314
0.55774474,0.57881093,0.5338459,0.5328781,0.51448977,0.53256375,0.51751035,0.54304594,0.61304057
0.5585923,0.5802999,0.5350033,0.53304523,0.5142416,0.53391856,0.517431,0.5451727,0.61543787
0.5501266,0.56539077,0.5234473,0.5313779,0.5167162,0.52039003,0.5182227,0.52390444,0.5912999
0.55909795,0.5811879,0.5356938,0.533145,0.51409346,0.53472686,0.51738364,0.5464411,0.6168659
0.5533183,0.57102066,0.52780265,0.5320059,0.5157843,0.5254892,0.51792455,0.53192794,0.60044837
0.5641352,0.59027743,0.5433831,0.5346092,0.5126694,0.5431367,0.51661044,0.55959177,0.6320176
0.5427305,0.5520964,0.513252,0.5299493,0.51874846,0.5087209,0.5188665,0.5054472,0.56975317
0.5847551,0.62783283,0.57730484,0.5420953,0.5069631,0.5785947,0.512487,0.61434096,0.69443494
0.5527653,0.570046,0.52704793,0.53189707,0.51594585,0.5246056,0.5179763,0.53053814,0.5988673
0.5578329,0.57896566,0.53396624,0.53289545,0.51446396,0.5327046,0.5175022,0.54326695,0.61328995
0.5612146,0.58490163,0.53858495,0.53356284,0.513473,0.5381106,0.51718515,0.55174774,0.62282556
0.5573903,0.5781878,0.53336185,0.5328082,0.51459354,0.5319971,0.5175436,0.5421561,0.61203635
0.5616292,0.5856614,0.5392539,0.5337042,0.5133582,0.53881866,0.51710814,0.552854,0.6241196
0.5509505,0.56684506,0.52457136,0.53154,0.5164757,0.5217061,0.5181458,0.525976,0.5936667
0.5395298,0.5443589,0.50781995,0.5295529,0.5185004,0.50494224,0.5187243,0.49873692,0.55889857
0.5802297,0.61966354,0.5698736,0.54044557,0.508222,0.57082987,0.5133967,0.60246015,0.681172
0.5573506,0.5781179,0.5333075,0.5328004,0.51460516,0.53193355,0.51754737,0.5420564,0.61192375
0.5665177,0.5946566,0.54730827,0.53547037,0.5120138,0.547241,0.51613665,0.565985,0.6394706
0.5652211,0.5922745,0.54517215,0.5350016,0.5123707,0.5450074,0.51639456,0.5625072,0.6354214
0.5689115,0.59904724,0.5512513,0.5363366,0.51135415,0.55136377,0.51566,0.572395,0.64690155
0.55691963,0.57736045,0.53271914,0.5327154,0.5147313,0.5312448,0.51758766,0.54097474,0.6107023
