region	boligtype	statistikkvariabel	ar	06035: Selveierboliger,
1149 Karmoy	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	25499
1149 Karmoy	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	26108
1149 Karmoy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	25687
1149 Karmoy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	25376
1149 Karmoy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	27241
1149 Karmoy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	29871
1149 Karmoy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	31154
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
