contents	region	year	12008: Municipal disposed dwellings,
Let dwellings per 31 December (number)	1106 Haugesund	2016	261
Let dwellings per 31 December (number)	1106 Haugesund	2017	261
Let dwellings per 31 December (number)	1106 Haugesund	2018	261
Let dwellings per 31 December (number)	1106 Haugesund	2019	261
Let dwellings per 31 December (number)	1106 Haugesund	2020	261
Let dwellings per 31 December (number)	1106 Haugesund	2021	261
Let dwellings per 31 December (number)	1106 Haugesund	2022	261
Let dwellings per 31 December (number)	1106 Haugesund	2023	261
Let dwellings per 31 December (number)	1145 Bokn	2015	0
Let dwellings per 31 December (number)	1145 Bokn	2016	0
Let dwellings per 31 December (number)	1145 Bokn	2017	0
Let dwellings per 31 December (number)	1145 Bokn	2018	0
Let dwellings per 31 December (number)	1145 Bokn	2019	0
Let dwellings per 31 December (number)	1145 Bokn	2020	0
Let dwellings per 31 December (number)	1145 Bokn	2021	0
Let dwellings per 31 December (number)	1145 Bokn	2022	0
Let dwellings per 31 December (number)	1145 Bokn	2023	0
Let dwellings per 31 December (number)	1146 Tysvær	2015	22
Let dwellings per 31 December (number)	1146 Tysvær	2016	12
Let dwellings per 31 December (number)	1146 Tysvær	2017	9
Let dwellings per 31 December (number)	1146 Tysvær	2018	4
Let dwellings per 31 December (number)	1146 Tysvær	2019	3
Let dwellings per 31 December (number)	1146 Tysvær	2020	2
Let dwellings per 31 December (number)	1146 Tysvær	2021	2
Let dwellings per 31 December (number)	1146 Tysvær	2022	1
Let dwellings per 31 December (number)	1146 Tysvær	2023	1
Let dwellings per 31 December (number)	1149 Karmøy	2015	5
Let dwellings per 31 December (number)	1149 Karmøy	2016	0
Let dwellings per 31 December (number)	1149 Karmøy	2017	0
Let dwellings per 31 December (number)	1149 Karmøy	2018	0
Let dwellings per 31 December (number)	1149 Karmøy	2019	0
Let dwellings per 31 December (number)	1149 Karmøy	2020	0
Let dwellings per 31 December (number)	1149 Karmøy	2021	0
Let dwellings per 31 December (number)	1149 Karmøy	2022	0
Let dwellings per 31 December (number)	1149 Karmøy	2023	27
Let dwellings per 31 December (number)	1160 Vindafjord	2015	16
Let dwellings per 31 December (number)	1160 Vindafjord	2016	18
Let dwellings per 31 December (number)	1160 Vindafjord	2017	12
Let dwellings per 31 December (number)	1160 Vindafjord	2018	12
Let dwellings per 31 December (number)	1160 Vindafjord	2019	12
Let dwellings per 31 December (number)	1160 Vindafjord	2020	12
Let dwellings per 31 December (number)	1160 Vindafjord	2021	12
Let dwellings per 31 December (number)	1160 Vindafjord	2022	0
Let dwellings per 31 December (number)	1160 Vindafjord	2023	0
Privately owned with municipal right of disposal (number)	1106 Haugesund	2015	65
Privately owned with municipal right of disposal (number)	1106 Haugesund	2016	52
Privately owned with municipal right of disposal (number)	1106 Haugesund	2017	52
Privately owned with municipal right of disposal (number)	1106 Haugesund	2018	52
Privately owned with municipal right of disposal (number)	1106 Haugesund	2019	52
Privately owned with municipal right of disposal (number)	1106 Haugesund	2020	52
Privately owned with municipal right of disposal (number)	1106 Haugesund	2021	52
Privately owned with municipal right of disposal (number)	1106 Haugesund	2022	52
Privately owned with municipal right of disposal (number)	1106 Haugesund	2023	10
Privately owned with municipal right of disposal (number)	1145 Bokn	2015	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2016	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2017	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2018	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2019	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2020	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2021	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2022	0
Privately owned with municipal right of disposal (number)	1145 Bokn	2023	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2015	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2016	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2017	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2018	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2019	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2020	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2021	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2022	0
Privately owned with municipal right of disposal (number)	1146 Tysvær	2023	0
Privately owned with municipal right of disposal (number)	1149 Karmøy	2015	119
Privately owned with municipal right of disposal (number)	1149 Karmøy	2016	120
Privately owned with municipal right of disposal (number)	1149 Karmøy	2017	120
Privately owned with municipal right of disposal (number)	1149 Karmøy	2018	103
Privately owned with municipal right of disposal (number)	1149 Karmøy	2019	90
Privately owned with municipal right of disposal (number)	1149 Karmøy	2020	92
Privately owned with municipal right of disposal (number)	1149 Karmøy	2021	90
Privately owned with municipal right of disposal (number)	1149 Karmøy	2022	66
Privately owned with municipal right of disposal (number)	1149 Karmøy	2023	44
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2015	0
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2016	0
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2017	1
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2018	0
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2019	0
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2020	0
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2021	0
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2022	0
Privately owned with municipal right of disposal (number)	1160 Vindafjord	2023	0
Number of let dwellings per 31 December (number)	1106 Haugesund	2015	550
Number of let dwellings per 31 December (number)	1106 Haugesund	2016	555
Number of let dwellings per 31 December (number)	1106 Haugesund	2017	534
Number of let dwellings per 31 December (number)	1106 Haugesund	2018	510
Number of let dwellings per 31 December (number)	1106 Haugesund	2019	498
Number of let dwellings per 31 December (number)	1106 Haugesund	2020	470
Number of let dwellings per 31 December (number)	1106 Haugesund	2021	464
Number of let dwellings per 31 December (number)	1106 Haugesund	2022	498
Number of let dwellings per 31 December (number)	1106 Haugesund	2023	478
Number of let dwellings per 31 December (number)	1145 Bokn	2015	21
Number of let dwellings per 31 December (number)	1145 Bokn	2016	20
Number of let dwellings per 31 December (number)	1145 Bokn	2017	20
Number of let dwellings per 31 December (number)	1145 Bokn	2018	19
Number of let dwellings per 31 December (number)	1145 Bokn	2019	19
Number of let dwellings per 31 December (number)	1145 Bokn	2020	18
Number of let dwellings per 31 December (number)	1145 Bokn	2021	15
Number of let dwellings per 31 December (number)	1145 Bokn	2022	20
Number of let dwellings per 31 December (number)	1145 Bokn	2023	20
Number of let dwellings per 31 December (number)	1146 Tysvær	2015	177
Number of let dwellings per 31 December (number)	1146 Tysvær	2016	168
Number of let dwellings per 31 December (number)	1146 Tysvær	2017	154
Number of let dwellings per 31 December (number)	1146 Tysvær	2018	149
Number of let dwellings per 31 December (number)	1146 Tysvær	2019	133
Number of let dwellings per 31 December (number)	1146 Tysvær	2020	126
Number of let dwellings per 31 December (number)	1146 Tysvær	2021	132
Number of let dwellings per 31 December (number)	1146 Tysvær	2022	123
Number of let dwellings per 31 December (number)	1146 Tysvær	2023	146
Number of let dwellings per 31 December (number)	1149 Karmøy	2015	483
Number of let dwellings per 31 December (number)	1149 Karmøy	2016	474
Number of let dwellings per 31 December (number)	1149 Karmøy	2017	471
Number of let dwellings per 31 December (number)	1149 Karmøy	2018	442
Number of let dwellings per 31 December (number)	1149 Karmøy	2019	420
Number of let dwellings per 31 December (number)	1149 Karmøy	2020	421
Number of let dwellings per 31 December (number)	1149 Karmøy	2021	423
Number of let dwellings per 31 December (number)	1149 Karmøy	2022	412
Number of let dwellings per 31 December (number)	1149 Karmøy	2023	445
Number of let dwellings per 31 December (number)	1160 Vindafjord	2015	117
Number of let dwellings per 31 December (number)	1160 Vindafjord	2016	115
Number of let dwellings per 31 December (number)	1160 Vindafjord	2017	105
Number of let dwellings per 31 December (number)	1160 Vindafjord	2018	105
Number of let dwellings per 31 December (number)	1160 Vindafjord	2019	103
Number of let dwellings per 31 December (number)	1160 Vindafjord	2020	94
Number of let dwellings per 31 December (number)	1160 Vindafjord	2021	91
Number of let dwellings per 31 December (number)	1160 Vindafjord	2022	79
Number of let dwellings per 31 December (number)	1160 Vindafjord	2023	86
