region	boligtype	statistikkvariabel	ar	06035: Selveierboliger,
1146 Tysvær	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	27368
1146 Tysvær	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	26437
1146 Tysvær	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	28053
1146 Tysvær	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	32362
1146 Tysvær	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	30810
1149 Karmøy	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	16434
1149 Karmøy	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	15989
1149 Karmøy	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	18521
1149 Karmøy	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	19112
1149 Karmøy	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	19723
1149 Karmøy	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	22759
1149 Karmøy	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	23287
1149 Karmøy	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	24454
1149 Karmøy	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	25499
1149 Karmøy	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	26108
1149 Karmøy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	25687
1149 Karmøy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	25376
1149 Karmøy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	27241
1149 Karmøy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	29871
1149 Karmøy	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	31154
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1151 Utsira	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1151 Utsira	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1151 Utsira	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1160 Vindafjord	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	14700
1160 Vindafjord	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	16799
1160 Vindafjord	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	14946
1160 Vindafjord	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	15932
1160 Vindafjord	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	18134
1160 Vindafjord	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1160 Vindafjord	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
1160 Vindafjord	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	21808
1160 Vindafjord	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1160 Vindafjord	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
1160 Vindafjord	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	..
1160 Vindafjord	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	22810
1160 Vindafjord	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	19729
1160 Vindafjord	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
1160 Vindafjord	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
4611 Etne	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	.
4611 Etne	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	16016
4611 Etne	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	15518
4611 Etne	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	13705
4611 Etne	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	14748
4611 Etne	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	.
4611 Etne	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
4611 Etne	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
4611 Etne	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
4611 Etne	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
4611 Etne	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	.
4611 Etne	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
4611 Etne	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
4611 Etne	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	..
4611 Etne	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
4612 Sveio	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2019	.
4612 Sveio	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2020	15366
4612 Sveio	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2021	15945
4612 Sveio	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2022	16855
4612 Sveio	Eneboliger	Gjennomsnittlig kvadratmeterpris (kr)	2023	17925
4612 Sveio	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2019	.
4612 Sveio	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
4612 Sveio	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2021	24106
4612 Sveio	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2022	25553
4612 Sveio	Småhus	Gjennomsnittlig kvadratmeterpris (kr)	2023	24896
4612 Sveio	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2019	.
4612 Sveio	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2020	..
4612 Sveio	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2021	..
4612 Sveio	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2022	26507
4612 Sveio	Blokkleiligheter	Gjennomsnittlig kvadratmeterpris (kr)	2023	..
